Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-06-11 14:35:00,32A,73180,SU 1368,2022-06-11 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-12 08:50:00,32A,73776,SU 1366,2022-06-12 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-12 14:32:00,32A,73767,SU 1368,2022-06-12 14:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-12 10:38:00,32A,73765,SU 1362,2022-06-12 10:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-12 12:40:00,32A,73755,SU 1364,2022-06-12 12:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-13 08:53:00,32A,73769,SU 1366,2022-06-13 08:53:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-14 12:30:00,32A,73778,SU 1364,2022-06-14 12:30:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-13 10:36:00,32A,73170,SU 1362,2022-06-13 10:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-13 12:31:00,32A,73776,SU 1364,2022-06-13 12:31:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-13 14:37:00,32A,73766,SU 1368,2022-06-13 14:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-14 08:50:00,32A,73763,SU 1366,2022-06-14 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-14 14:45:00,32A,73779,SU 1368,2022-06-14 14:45:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-15 08:51:00,32A,73748,SU 1366,2022-06-15 08:51:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-15 12:35:00,32A,73761,SU 1364,2022-06-15 12:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-15 14:38:00,32A,73172,SU 1368,2022-06-15 14:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-16 08:50:00,32A,73763,SU 1366,2022-06-16 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-16 14:35:00,32A,73781,SU 1368,2022-06-16 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-17 10:41:00,32A,73170,SU 1362,2022-06-17 10:41:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-16 12:43:00,32A,73775,SU 1364,2022-06-16 12:43:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-18 08:50:00,32A,73777,SU 1366,2022-06-18 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-17 12:48:00,32A,73761,SU 1364,2022-06-17 12:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-17 14:40:00,32A,73762,SU 1368,2022-06-17 14:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-17 08:49:00,32A,73759,SU 1366,2022-06-17 08:49:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-18 12:34:00,73H,73099,SU 1364,2022-06-18 12:34:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-18 10:39:00,32A,73753,SU 1362,2022-06-18 10:39:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
